#!/usr/local/bin/rebench benchmarks.conf Mate-Standard
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard vm:RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard vm:RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard RTruffleSOM-jit
#!/usr/local/bin/rebench benchmarks.conf Mate-Standard
#!/usr/local/bin/rebench benchmarks.conf
[2016-12-21T10:23:00]	5.413000	ms	total	WhileLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:08]	5.388000	ms	total	Sieve	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:08]	5.389000	ms	total	Sieve	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:08]	5.002000	ms	total	Sieve	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:08]	12.942000	ms	total	Queens	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:08]	12.852000	ms	total	Queens	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	13.330000	ms	total	Queens	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	4.798000	ms	total	Recurse	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	4.619000	ms	total	Recurse	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	4.526000	ms	total	Recurse	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	0.034000	ms	total	Fannkuch	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	0.032000	ms	total	Fannkuch	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	0.061000	ms	total	Fannkuch	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	50.248000	ms	total	FieldLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	48.730000	ms	total	FieldLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	48.567000	ms	total	FieldLoop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	2.126000	ms	total	Loop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	2.211000	ms	total	Loop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
[2016-12-21T10:23:09]	1.980000	ms	total	Loop	RTruffleSOM-no-jit	micro-steady	1 0 1	0	1		
